Date,Search Trends
2019-12-05,1304
2019-12-06,1251
2019-12-07,1041
2019-12-08,1033
2019-12-09,1317
2019-12-10,1295
2019-12-11,1284
2019-12-12,1296
2019-12-13,1257
2019-12-14,1126
2019-12-15,1167
2019-12-16,1400
2019-12-17,1404
2019-12-18,1334
2019-12-19,1377
2019-12-20,1337
2019-12-21,1123
2019-12-22,1108
2019-12-23,1224
2019-12-24,809
2019-12-25,991
2019-12-26,1412
2019-12-27,1311
2019-12-28,1163
2019-12-29,1102
2019-12-30,1222
2019-12-31,697
2020-01-01,861
2020-01-02,1402
2020-01-03,1349
2020-01-04,1216
2020-01-05,1127
2020-01-06,1358
2020-01-07,1362
2020-01-08,1368
2020-01-09,1388
2020-01-10,1318
2020-01-11,1158
2020-01-12,1133
2020-01-13,1393
2020-01-14,1393
2020-01-15,1366
2020-01-16,1318
2020-01-17,1252
2020-01-18,1093
2020-01-19,1045
2020-01-20,1359
2020-01-21,1354
2020-01-22,1338
2020-01-23,1326
2020-01-24,1271
2020-01-25,1127
2020-01-26,1061
2020-01-27,1354
2020-01-28,1361
2020-01-29,1394
2020-01-30,1363
2020-01-31,1257
2020-02-01,1135
2020-02-02,1065
2020-02-03,1331
2020-02-04,1328
2020-02-05,1296
2020-02-06,1253
2020-02-07,1254
2020-02-08,1122
2020-02-09,1083
2020-02-10,1338
2020-02-11,1343
2020-02-12,1316
2020-02-13,1265
2020-02-14,1177
2020-02-15,1077
2020-02-16,1074
2020-02-17,1330
2020-02-18,1334
2020-02-19,1371
2020-02-20,1351
2020-02-21,1280
2020-02-22,1107
2020-02-23,1080
2020-02-24,1243
2020-02-25,921
2020-03-10,256
2020-03-11,1077
2020-03-12,1074
2020-03-13,1330
2020-03-14,1334
2020-03-15,1371
2020-03-16,1351
2020-03-17,1280
2020-03-18,1107
2020-03-19,1080
2020-03-20,1077
2020-03-21,1047
2020-03-22,1047
2020-03-23,1085
2020-03-24,1111
2020-03-25,1140
2020-03-26,1165
2020-03-27,1183
2020-03-28,1197
2020-03-29,1216
2020-03-30,1313
2020-03-31,1281
2020-04-01,1160
2020-04-02,1151
2020-04-03,1119
2020-04-04,1121
2020-04-05,1131
2020-04-06,1259
2020-04-07,1228
2020-04-08,1114
2020-04-09,1077
2020-04-10,1094
2020-04-11,1117
2020-04-12,1133
2020-04-13,1292
2020-04-14,1247
2020-04-15,1170
2020-04-16,1216
2020-04-17,1171
